Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"45.5898, -122.5951",06/01/2020 00:00:00,54,54,54,,,0,0,0,9.9,320,,9.9,84.8,68.75,Overcast
"45.5898, -122.5951",06/01/2020 01:00:00,54,54,54,,,0,0,0,10.1,320,,9.9,84.8,66.29,Overcast
"45.5898, -122.5951",06/01/2020 02:00:00,52.1,52.1,52.1,,,0,0,0,9.1,310,,9.9,26.1,71.09,Partially cloudy
"45.5898, -122.5951",06/01/2020 03:00:00,51.2,51.2,51.2,,,0,0,0,5.8,320,,9.9,0,73.48,Clear
"45.5898, -122.5951",06/01/2020 04:00:00,50,50,50,47.8,,0,0,0,5.7,310,,9.9,0,76.89,Clear
"45.5898, -122.5951",06/01/2020 05:00:00,49.8,49.8,49.8,,,0,0,0,0,0,,9.9,26.1,77.1,Partially cloudy
"45.5898, -122.5951",06/01/2020 06:00:00,49.8,49.8,49.8,,,0,0,0,0,0,,9.9,26.1,77.15,Partially cloudy
"45.5898, -122.5951",06/01/2020 07:00:00,50,50,50,49.5,,0,0,0,3.2,10,,9.9,26.1,77.02,Partially cloudy
"45.5898, -122.5951",06/01/2020 08:00:00,52.1,52.1,52.1,,,0,0,0,0,0,,9.9,26.1,73.82,Partially cloudy
"45.5898, -122.5951",06/01/2020 09:00:00,56,56,56,,,0,0,0,5.5,0,,9.9,26.1,64,Partially cloudy
"45.5898, -122.5951",06/01/2020 10:00:00,57.8,57.8,57.8,,,0,0,0,4.7,320,,9.9,27.2,61.99,Partially cloudy
"45.5898, -122.5951",06/01/2020 11:00:00,60.2,60.2,60.2,,,0,0,0,5.8,,,9.9,26.1,55.16,Partially cloudy
"45.5898, -122.5951",06/01/2020 12:00:00,63,63,63,,,0,0,0,8,290,,9.9,26.1,46.5,Partially cloudy
"45.5898, -122.5951",06/01/2020 13:00:00,65.1,65.1,65.1,,,0,0,0,8,280,16.1,9.9,26.1,39.69,Partially cloudy
"45.5898, -122.5951",06/01/2020 14:00:00,66.8,66.8,66.8,,,0,0,0,12.7,280,,9.9,26.1,40.73,Partially cloudy
"45.5898, -122.5951",06/01/2020 15:00:00,69.2,69.2,69.2,,,0,0,0,10.3,280,,9.9,26.1,37.53,Partially cloudy
"45.5898, -122.5951",06/01/2020 16:00:00,70.1,70.1,70.1,,,0,0,0,3.4,,,9.9,26.1,36.44,Partially cloudy
"45.5898, -122.5951",06/01/2020 17:00:00,71.1,71.1,71.1,,,0,0,0,6.9,300,,9.9,26.1,36.37,Partially cloudy
"45.5898, -122.5951",06/01/2020 18:00:00,72,72,72,,,0,0,0,4.7,340,,9.9,26.1,35.26,Partially cloudy
"45.5898, -122.5951",06/01/2020 19:00:00,71.1,71.1,71.1,,,0,0,0,6.9,360,17.2,9.9,26.1,35.12,Partially cloudy
